LocationType,Location,TimeFrame,DataFormat,Data
Nation,United States,2000,Number,544303
Nation,United States,2001,Number,544614
Nation,United States,2002,Number,532717
Nation,United States,2003,Number,519482
Nation,United States,2004,Number,507419
Nation,United States,2005,Number,511318
Nation,United States,2006,Number,510885
Nation,United States,2007,Number,486619
Nation,United States,2008,Number,459828
Nation,United States,2013,Number,402172
Nation,United States,2009,Number,423773
Nation,United States,2015,Number,427901
Nation,United States,2010,Number,408425
Nation,United States,2011,Number,397885
Nation,United States,2012,Number,397091
Nation,United States,2014,Number,415129
Nation,United States,2016,Number,437465
Nation,United States,2017,Number,442733
State,Alabama,2017,Number,5631
State,Alabama,2014,Number,4556
State,Alabama,2016,Number,5053
State,Alabama,2012,Number,4561
State,Alabama,2011,Number,5253
State,Alabama,2010,Number,5350
State,Alabama,2015,Number,4745
State,Alabama,2009,Number,6894
State,Alabama,2013,Number,4532
State,Alabama,2007,Number,7097
State,Alabama,2008,Number,6876
State,Alabama,2006,Number,7157
State,Alabama,2005,Number,6913
State,Alabama,2004,Number,5934
State,Alabama,2003,Number,6079
State,Alabama,2002,Number,5883
State,Alabama,2001,Number,5859
State,Alabama,2000,Number,5621
State,Alaska,2000,Number,2193
State,Alaska,2001,Number,1993
State,Alaska,2002,Number,2072
State,Alaska,2003,Number,2040
State,Alaska,2004,Number,1830
State,Alaska,2005,Number,1790
State,Alaska,2006,Number,2017
State,Alaska,2008,Number,2168
State,Alaska,2007,Number,2126
State,Alaska,2009,Number,2166
State,Alaska,2013,Number,1982
State,Alaska,2015,Number,2653
State,Alaska,2010,Number,1801
State,Alaska,2011,Number,1871
State,Alaska,2012,Number,1889
State,Alaska,2016,Number,2820
State,Alaska,2014,Number,2190
State,Alaska,2017,Number,2766
State,Arizona,2017,Number,15031
State,Arizona,2014,Number,16246
State,Arizona,2016,Number,17118
State,Arizona,2011,Number,10883
State,Arizona,2012,Number,13461
State,Arizona,2015,Number,17738
State,Arizona,2010,Number,9930
State,Arizona,2013,Number,14399
State,Arizona,2009,Number,10175
State,Arizona,2007,Number,9077
State,Arizona,2008,Number,10425
State,Arizona,2006,Number,9731
State,Arizona,2005,Number,9685
State,Arizona,2004,Number,9194
State,Arizona,2003,Number,7469
State,Arizona,2002,Number,6173
State,Arizona,2001,Number,6050
State,Arizona,2000,Number,6475
State,Arkansas,2000,Number,3045
State,Arkansas,2002,Number,2971
State,Arkansas,2001,Number,2959
State,Arkansas,2003,Number,3014
State,Arkansas,2004,Number,3124
State,Arkansas,2005,Number,3238
State,Arkansas,2006,Number,3434
State,Arkansas,2008,Number,3522
State,Arkansas,2007,Number,3614
State,Arkansas,2009,Number,3657
State,Arkansas,2013,Number,3797
State,Arkansas,2010,Number,3770
State,Arkansas,2015,Number,4548
State,Arkansas,2012,Number,3711
State,Arkansas,2011,Number,3732
State,Arkansas,2014,Number,3806
State,Arkansas,2017,Number,4776
State,Arkansas,2016,Number,4880
State,California,2017,Number,51869
State,California,2014,Number,56771
State,California,2016,Number,54685
State,California,2011,Number,54754
State,California,2012,Number,54288
State,California,2015,Number,55983
State,California,2010,Number,57708
State,California,2013,Number,56577
State,California,2009,Number,60198
State,California,2007,Number,73998
State,California,2008,Number,67323
State,California,2006,Number,78373
State,California,2005,Number,80247
State,California,2004,Number,82641
State,California,2003,Number,97261
State,California,2001,Number,107168
State,California,2002,Number,100451
State,California,2000,Number,112807
State,Colorado,2000,Number,7533
State,Colorado,2002,Number,9209
State,Colorado,2001,Number,7138
State,Colorado,2003,Number,8754
State,Colorado,2004,Number,8196
State,Colorado,2005,Number,8213
State,Colorado,2006,Number,8139
State,Colorado,2008,Number,7921
State,Colorado,2007,Number,7690
State,Colorado,2009,Number,7927
State,Colorado,2013,Number,5851
State,Colorado,2010,Number,6980
State,Colorado,2015,Number,5644
State,Colorado,2011,Number,6488
State,Colorado,2012,Number,6003
State,Colorado,2014,Number,5787
State,Colorado,2017,Number,5704
State,Colorado,2016,Number,5733
State,Connecticut,2017,Number,4135
State,Connecticut,2014,Number,4069
State,Connecticut,2016,Number,4119
State,Connecticut,2011,Number,4926
State,Connecticut,2012,Number,4563
State,Connecticut,2010,Number,4462
State,Connecticut,2015,Number,3908
State,Connecticut,2013,Number,4245
State,Connecticut,2009,Number,4761
State,Connecticut,2007,Number,5591
State,Connecticut,2008,Number,5373
State,Connecticut,2006,Number,7448
State,Connecticut,2005,Number,7032
State,Connecticut,2004,Number,6803
State,Connecticut,2003,Number,6742
State,Connecticut,2001,Number,7440
State,Connecticut,2002,Number,6007
State,Connecticut,2000,Number,6996
State,Delaware,2000,Number,1098
State,Delaware,2002,Number,886
State,Delaware,2001,Number,1023
State,Delaware,2003,Number,814
State,Delaware,2005,Number,962
State,Delaware,2004,Number,849
State,Delaware,2006,Number,1074
State,Delaware,2008,Number,938
State,Delaware,2007,Number,1156
State,Delaware,2009,Number,814
State,Delaware,2013,Number,702
State,Delaware,2010,Number,739
State,Delaware,2015,Number,682
State,Delaware,2011,Number,845
State,Delaware,2012,Number,799
State,Delaware,2014,Number,635
State,Delaware,2017,Number,787
State,Delaware,2016,Number,780
City,District of Columbia,2017,Number,751
City,District of Columbia,2014,Number,981
City,District of Columbia,2016,Number,826
City,District of Columbia,2012,Number,1551
City,District of Columbia,2011,Number,1797
City,District of Columbia,2010,Number,2066
City,District of Columbia,2015,Number,947
City,District of Columbia,2013,Number,1311
City,District of Columbia,2009,Number,2111
City,District of Columbia,2007,Number,2148
City,District of Columbia,2008,Number,2217
City,District of Columbia,2006,Number,2368
City,District of Columbia,2004,Number,2608
City,District of Columbia,2005,Number,2519
City,District of Columbia,2003,Number,3092
City,District of Columbia,2001,Number,3339
City,District of Columbia,2002,Number,3321
City,District of Columbia,2000,Number,3054
State,Florida,2000,Number,36608
State,Florida,2002,Number,31963
State,Florida,2001,Number,32477
State,Florida,2003,Number,30677
State,Florida,2005,Number,29312
State,Florida,2004,Number,28864
State,Florida,2006,Number,29229
State,Florida,2008,Number,22187
State,Florida,2007,Number,26755
State,Florida,2009,Number,19156
State,Florida,2013,Number,18016
State,Florida,2015,Number,22362
State,Florida,2010,Number,18753
State,Florida,2011,Number,19760
State,Florida,2012,Number,19536
State,Florida,2016,Number,23810
State,Florida,2014,Number,19712
State,Florida,2017,Number,24641
State,Georgia,2017,Number,13146
State,Georgia,2014,Number,9005
State,Georgia,2016,Number,12381
State,Georgia,2012,Number,7671
State,Georgia,2011,Number,7591
State,Georgia,2010,Number,6895
State,Georgia,2015,Number,10935
State,Georgia,2013,Number,7607
State,Georgia,2009,Number,8020
State,Georgia,2007,Number,12195
State,Georgia,2008,Number,9984
State,Georgia,2006,Number,13175
State,Georgia,2004,Number,14216
State,Georgia,2005,Number,13965
State,Georgia,2003,Number,13578
State,Georgia,2001,Number,13175
State,Georgia,2002,Number,13149
State,Georgia,2000,Number,11204
State,Hawaii,2000,Number,2401
State,Hawaii,2002,Number,2762
State,Hawaii,2001,Number,2584
State,Hawaii,2005,Number,2745
State,Hawaii,2004,Number,2948
State,Hawaii,2003,Number,2886
State,Hawaii,2006,Number,2355
State,Hawaii,2008,Number,1622
State,Hawaii,2007,Number,1926
State,Hawaii,2009,Number,1455
State,Hawaii,2013,Number,1085
State,Hawaii,2015,Number,1360
State,Hawaii,2010,Number,1215
State,Hawaii,2011,Number,1122
State,Hawaii,2012,Number,1079
State,Hawaii,2016,Number,1605
State,Hawaii,2014,Number,1221
State,Hawaii,2017,Number,1607
State,Idaho,2017,Number,1593
State,Idaho,2014,Number,1208
State,Idaho,2016,Number,1518
State,Idaho,2011,Number,1354
State,Idaho,2012,Number,1234
State,Idaho,2015,Number,1351
State,Idaho,2010,Number,1462
State,Idaho,2013,Number,1342
State,Idaho,2009,Number,1446
State,Idaho,2007,Number,1870
State,Idaho,2008,Number,1723
State,Idaho,2006,Number,1850
State,Idaho,2003,Number,1401
State,Idaho,2004,Number,1565
State,Idaho,2005,Number,1818
State,Idaho,2001,Number,1114
State,Idaho,2002,Number,1246
State,Idaho,2000,Number,1015
State,Illinois,2000,Number,29565
State,Illinois,2002,Number,24344
State,Illinois,2001,Number,28202
State,Illinois,2005,Number,19431
State,Illinois,2004,Number,19931
State,Illinois,2003,Number,21608
State,Illinois,2006,Number,18371
State,Illinois,2008,Number,17843
State,Illinois,2007,Number,17864
State,Illinois,2009,Number,17080
State,Illinois,2013,Number,16706
State,Illinois,2010,Number,17730
State,Illinois,2015,Number,16654
State,Illinois,2011,Number,17641
State,Illinois,2012,Number,16637
State,Illinois,2016,Number,16113
State,Illinois,2014,Number,17140
State,Illinois,2017,Number,15930
State,Indiana,2017,Number,20904
State,Indiana,2016,Number,19837
State,Indiana,2014,Number,14452
State,Indiana,2012,Number,11334
State,Indiana,2011,Number,10779
State,Indiana,2015,Number,17023
State,Indiana,2010,Number,12276
State,Indiana,2013,Number,12382
State,Indiana,2009,Number,12437
State,Indiana,2007,Number,11290
State,Indiana,2008,Number,12386
State,Indiana,2006,Number,11384
