state,population_average
Alaska,683077
Alabama,4698683
Arkansas,2857450
Arizona,6256743
California,36587988
Colorado,4879029
Connecticut,3537289
District of Columbia,585410
Delaware,878712
Florida,18481446
Georgia,9470332
Hawaii,1325736
Iowa,3010521
Idaho,1520749
Illinois,12747324
Indiana,6405249
Kansas,2803449
Kentucky,4279971
Louisiana,4424220
Massachusetts,6481671
Maryland,5688802
Maine,1326120
Michigan,9970573
Minnesota,5234218
Missouri,5917017
Mississippi,2938529
Montana,971064
North Carolina,9232086
North Dakota,657492
Nebraska,1794876
New Hampshire,1314225
New Jersey,8709961
New Mexico,2004754
Nevada,2619151
New York,19257663
Ohio,11511491
Oklahoma,3663764
Oregon,3755715
Pennsylvania,12596665
Rhode Island,1056516
South Carolina,4495067
South Dakota,799048
Tennessee,6222433
Texas,24230662
Utah,2653849
Virginia,7823269
Vermont,623664
Washington,6544738
Wisconsin,5631273
West Virginia,1835903
Wyoming,541516
